StudyInstanceUID,group,fold
1.2.826.0.1.3680043.8.498.10004873229099053869093324292195817260,a1124d323b5d409f680c93a30228ccd7,1
1.2.826.0.1.3680043.8.498.10004945927472656027199792075652399585,052fe1f8f59208b92cc44b457dfa57d5,3
1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231,08b906da4090dbc0833b8c7cd7773484,2
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1eaee6ad463801f593ce5a9898b599d5,3
1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542,74bd28d44931521f0e8922cf680fcffc,3
1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339,c8b53557fba75542443d0e658958e253,2
1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101,dc18c941561a52b3e258dd41056aa436,1
1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606,f76fc0ad84adb85ae0975b794bce744b,0
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,27c3efeedd2dfa4029cb987523bf9f45,0
1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559,04730497cdb0829595b96ef87abc9255,2
1.2.826.0.1.3680043.8.498.10026410865298348818136520318965356394,4ce9696a147d634515c392f25ee139a5,3
1.2.826.0.1.3680043.8.498.10029168398037940681915299760479434938,d05f025b102511fa9853a8ad497923c5,4
1.2.826.0.1.3680043.8.498.10029520033957968044048068502185417806,37a33a9b2853cef32c15711406001d33,1
1.2.826.0.1.3680043.8.498.10039686090738454718354181337513293981,9b0ff5ee474a3bd095e305192e0d9bdf,1
1.2.826.0.1.3680043.8.498.10048842414095994814596043262132965018,6f960346a9e1483a81b38da7806dd612,4
1.2.826.0.1.3680043.8.498.10058298717414171145622092128156266866,18a83e0d3965a766c0d6f38255971c30,2
1.2.826.0.1.3680043.8.498.10059200627175320481920009076697103801,6562d647c847b5643d63ddd2934e7f80,3
1.2.826.0.1.3680043.8.498.10061120822929703004201627784850458401,ab742be1af3ee20f2f2e08a43d20c76d,2
1.2.826.0.1.3680043.8.498.10064642360075735959136394136507408269,45317552b350de0183e8fe8a7ef72b5c,3
1.2.826.0.1.3680043.8.498.10066945398485042741116657288959323922,447de357cea41ef67c63bf092437413f,1
1.2.826.0.1.3680043.8.498.10077497528995409346950814927366582736,a2847c6ef624e684a8220dba5be1f542,2
1.2.826.0.1.3680043.8.498.10077803906105306230229342168184970097,09a69402ae8cbebe0e85b00e3fd9df34,2
1.2.826.0.1.3680043.8.498.10081117556977868957150377234052259018,a711ecbed7849c35f4a9c1ffc9106557,2
1.2.826.0.1.3680043.8.498.10085187975213640798228717119613397941,2e99a1dcf96ba0d4e944fd4d39a4e9c1,0
1.2.826.0.1.3680043.8.498.10087350795575215080051569638065974347,cd6ef139156e551caadf946f1e2d8b66,3
1.2.826.0.1.3680043.8.498.10088120558600684332737135714636269365,11991463db4341b27fec4d865f5635a8,1
1.2.826.0.1.3680043.8.498.10088707526476055079083082931629995449,673a6b27ea7fd62555d0e33f2d5da452,1
1.2.826.0.1.3680043.8.498.10090136633727522725960302994815319097,24257d4d5e609e01c4a95ff7ea1bd5b6,3
1.2.826.0.1.3680043.8.498.10090631811016939819371208464230332678,97cda202c8f7a3e3b97077a7315cde7a,3
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,12a6bebe849b839b133f314dd37e9f04,1
1.2.826.0.1.3680043.8.498.10096063158753121251217031021181036863,8d83ea1110ad2a6ff13f7dbacde364c0,4
1.2.826.0.1.3680043.8.498.10096216489317602387766193675918767557,77e1688fe1fd9273d732930a50c8cf4c,4
1.2.826.0.1.3680043.8.498.10096919689272424388113819845481617364,e29a8f97e7e7fa6757fa3a43dbf4d32c,4
1.2.826.0.1.3680043.8.498.10100718559177860518999368876392117659,c416f0dc56f4ddeb5b3cba54b8b35178,2
1.2.826.0.1.3680043.8.498.10112440805412493412191181061985753636,46fe6243c5c3d64f878329c30ef04649,1
1.2.826.0.1.3680043.8.498.10118623027360228027776975311765133100,d0cbb8fd8f2d5054764f1012c12c7e63,3
1.2.826.0.1.3680043.8.498.10120841513315425967980213160839994882,d9dc9ace418b612808867d0a6d48eb7c,2
1.2.826.0.1.3680043.8.498.10121558854084271154265851933273260339,8e52c6c0d5445a7e1b764b1e739bc5a8,4
1.2.826.0.1.3680043.8.498.10123751739767586025744123799948754343,ddc85837d80e19e48cdb3f29e9f0ea52,3
1.2.826.0.1.3680043.8.498.10124063607403942330156450768015985834,c415d528124b2177470b8e4b929091a3,3
1.2.826.0.1.3680043.8.498.10124701778993602117271554854098856833,aa867cd29e62782c7442f56defc96e1e,1
1.2.826.0.1.3680043.8.498.10128954897472795975323353442305671586,38d9d7c1ecdcdad9e2ef2c11f852dd04,2
1.2.826.0.1.3680043.8.498.10129462959695121379466274688956171166,99aa4f9cd36929e21b218ca0c61d16c2,2
1.2.826.0.1.3680043.8.498.10132169498032330070492330913783717864,1930cfe5bba4cddf5cd18296bfcf4f57,4
1.2.826.0.1.3680043.8.498.10133843191898064967257276100779798471,a80e41d7609b706a51bc7ee0d9fd92c1,3
1.2.826.0.1.3680043.8.498.10135587809070718435691939321937314104,d40ed94dacd135e71397e0b7313a0e2d,3
1.2.826.0.1.3680043.8.498.10136486417446492428821313562961937182,d7355ffba4590928a62abd6994a995dd,3
1.2.826.0.1.3680043.8.498.10143536655047216390592811329604738314,156585f0918ce756bb73c0457a877d92,2
1.2.826.0.1.3680043.8.498.10144735099702632881322032871591573824,490d2eebcb9c85d352838a3249eb8903,2
1.2.826.0.1.3680043.8.498.10147180484860577398303524379319212586,f9f8c52d59c15996906d27eecf47bf36,3
1.2.826.0.1.3680043.8.498.10147717839726734017869499799005084725,16ba72c66c727475e4e04eb84917f06e,0
1.2.826.0.1.3680043.8.498.10148037169326559689992758180208780221,f11abc6660f41cfbac0d36d974bf05e8,0
1.2.826.0.1.3680043.8.498.10148517526101576084961355066637531019,dbe7630f98455e3b25e710610e0a9bdf,1
1.2.826.0.1.3680043.8.498.10149967031679082348901055550415519790,5d64896820c554d0e308cae709b39cf1,2
1.2.826.0.1.3680043.8.498.10150914432481980534086434136814789205,262893fbabd90ede16dbea27d3e80f3a,4
1.2.826.0.1.3680043.8.498.10155611590208164695256621422536643320,d3404a6ee941a2f36627fb82e821cb47,3
1.2.826.0.1.3680043.8.498.10157549662917062273945150928668828930,272d7c53cbc764aa958117ffbbf66267,0
1.2.826.0.1.3680043.8.498.10158178668962379857908493434842864484,7ebb42b521671f604edb8a1c437afa4f,0
1.2.826.0.1.3680043.8.498.10159551371305936155888341171022480536,e41a6f934f34c61bb649585e291eec54,2
1.2.826.0.1.3680043.8.498.10161011217774350674534600439166319161,92473f2f7075a2a7c84271bf3c617d11,3
1.2.826.0.1.3680043.8.498.10162168547770229150261479353227398478,b75b2a5c82bfda7bb8677e2e05aacd0e,2
1.2.826.0.1.3680043.8.498.10162720374291180196973998234794414415,ebe001e05f8a45d660d1e0026772b9c7,2
1.2.826.0.1.3680043.8.498.10165669527316708372190215034240922433,3bf0c3e2e2fc78c163d06095833fd280,4
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,a6291e91909f34e7c69884850c95b7ec,2
1.2.826.0.1.3680043.8.498.10181119664728335020976262955776463973,b5bbcf3fd7a54c40aae92e0c05c5e8f1,0
1.2.826.0.1.3680043.8.498.10181291283712008544475048457589664787,2170bf7b0702e6e6644f66e193269546,2
1.2.826.0.1.3680043.8.498.10182565688010898600749222617373997197,cb47f07c75422ba06b9265d3545e9619,4
1.2.826.0.1.3680043.8.498.10183939841890895037058579455663880292,8f58b3e3c8ba8ee09efd2f0627ef8874,0
1.2.826.0.1.3680043.8.498.10189392162056736163704940747328177364,3b09321661d7e3dc6a45c9dedf239bf8,3
1.2.826.0.1.3680043.8.498.10190506315646895064803936408630113507,7ac33a27684be7d698aae615fa01a555,1
1.2.826.0.1.3680043.8.498.10197515493414564227930855210542221039,8440f35247a8737dc2f6d563e3b7866f,0
1.2.826.0.1.3680043.8.498.10197565004992937722841731691775578390,ded01a076edc679e81187d041a3485c9,4
1.2.826.0.1.3680043.8.498.10199522802568420589167284753473646773,36930cebba8c3d4db19b412faaf84313,0
1.2.826.0.1.3680043.8.498.10201197020583611347810070328854760801,af8d9f8863efd06be960ba3fdd1c06f7,0
1.2.826.0.1.3680043.8.498.10201660732108909756259359440298787775,e9a11030a437abc304508a80d0335ea6,1
1.2.826.0.1.3680043.8.498.10205592316907266136938526795826751183,8f191dbcbe96ce609a741f4b01e9dd9d,2
1.2.826.0.1.3680043.8.498.10207134048598925821261298801127950516,3b38602e4bbea1548acdc2af1a368f02,0
1.2.826.0.1.3680043.8.498.10209387047693448282446870911381660585,99c49d360acc7c8ec3a5516df9192e81,3
1.2.826.0.1.3680043.8.498.10211034309703220222647821582770542129,333c1d20c9643364eac4e9bf9019bda0,3
1.2.826.0.1.3680043.8.498.10211815027850731240126403602239595062,ba73e9a24ef3c470b6dcdee273ed203f,2
1.2.826.0.1.3680043.8.498.10218285921271312931891912812808052375,c1500b8d116ccaeb42bb1c0951670c01,4
1.2.826.0.1.3680043.8.498.10218458664774126578027318307405130821,fbbf1a213bae084f7bdaa340a53ea3d1,2
1.2.826.0.1.3680043.8.498.10229223546412441924801428332647762115,7b1689a2d91c47cd2d26ceaac550d714,3
1.2.826.0.1.3680043.8.498.10239418182819270860819533058081041576,8b5fd34b19aafb94a94269b7b6363352,3
1.2.826.0.1.3680043.8.498.10240166440044087554182120832488098189,8fb5ad7e0934e04f8af16e46b3da227e,1
